,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
188,82,21-May-10,Perrierâs Bounty,6600000,828,828,5/21/10,2010,Perrierâs Bounty,Perrier's Bounty,0.166666667,Perrier's Bounty,IFC,800,167000,167800,28
108,68,5-Sep-14,Thunder and the House of Magic,34000000,4091,62582520,9/5/14,2014,Thunder and the House of Magic,Thunder and the House of Magic!,0.032258065,Thunder and the House of Magic!,Shout!,4100,64200000,64204100,-9
194,6,7-Sep-12,The Inbetweeners,5700000,35955,86051320,9/7/12,2012,The Inbetweeners,The Inbetweeners Movie,0.272727273,The Inbetweeners Movie,WHE,36000,88000000,88036000,-45
227,66,19-Jul-13,The Act of Killing,1000000,486919,1227316,7/19/13,2013,The Act of Killing,Act of Killing,0.222222222,Act of Killing,Drft.,487000,,,-81
184,30,5-Oct-12,Wuthering Heights,8000000,100915,2721534,10/5/12,2012,Wuthering Heights,Wuthering Heights (2012),0.291666667,Wuthering Heights (2012),Osci.,101000,,,-85
204,66,26-Sep-14,Jimi: All is By My Side,5000000,340911,927074,9/26/14,2014,Jimi: All is By My Side,Jimi: All Is By My Side,0.043478261,Jimi: All Is By My Side,XL,341000,,,-89
165,76,1-Oct-14,"Men, Women and Children",16000000,705908,1685403,10/1/14,2014,"Men, Women and Children","Men, Women & Children",0.130434783,"Men, Women & Children",Par.,706000,1500000,2206000,-92
211,26,13-Jun-14,The Signal,4000000,600896,2665322,6/13/14,2014,The Signal,The Signal (2014),0.411764706,The Signal (2014),Focus,601000,,,-104
173,10,23-Dec-11,In The Land of Blood and Honey,13000000,303877,509193,12/23/11,2011,In The Land of Blood and Honey,In the Land of Blood and Honey,0.033333333,In the Land of Blood and Honey,FD,304000,,,-123
205,69,30-Sep-11,Tucker & Dale vs. Evil,5000000,223838,5476793,9/30/11,2011,Tucker & Dale vs. Evil,Tucker & Dale Vs. Evil,0.045454545,Tucker & Dale Vs. Evil,Magn.,224000,4500000,4724000,-162
141,97,28-Jun-13,Redemption,23000000,36686,13593473,6/28/13,2013,Redemption,Redemption (2013),0.411764706,Redemption (2013),RAtt.,36900,,,-214
119,58,19-Aug-11,Fright Night,30000000,18298649,40520649,8/19/11,2011,Fright Night,Fright Night (2011),0.368421053,Fright Night (2011),BV,18300000,22700000,41000000,-1351
49,15,20-Jan-17,xXx: Return of Xander Cage,85000000,44898413,345033359,1/20/17,2017,xXx: Return of Xander Cage,xXx: The Return of Xander Cage,0.133333333,xXx: The Return of Xander Cage,Par.,44900000,301200000,346100000,-1587
20,98,16-Dec-11,Mission: ImpossibleâGhost Protocol,145000000,209397903,694713230,12/16/11,2011,Mission: ImpossibleâGhost Protocol,Mission: Impossible - Ghost Protocol,0.083333333,Mission: Impossible - Ghost Protocol,Par.,209400000,485300000,694700000,-2097
160,4,28-Apr-17,The Circle,18000000,20497844,40651864,4/28/17,2017,The Circle,The Circle (2017),0.411764706,The Circle (2017),STX,20500000,,,-2156
162,56,13-Jul-12,Red Lights,17700000,49521,14518884,7/13/12,2012,Red Lights,Red Lights (2012),0.411764706,Red Lights (2012),MNE,52600,13500000,13552600,-3079
226,39,28-Jul-17,An Inconvenient Sequel,1000000,3496795,5839322,7/28/17,2017,An Inconvenient Sequel,An Inconvenient Sequel: Truth to Power,0.421052632,An Inconvenient Sequel: Truth to Power,Par.,3500000,1900000,5400000,-3205
148,16,2-Apr-10,Why Did I Get Married Too?,20000000,60095852,60831067,4/2/10,2010,Why Did I Get Married Too?,Tyler Perry's Why Did I Get Married Too?,0.35,Tyler Perry's Why Did I Get Married Too?,LGF,60100000,578000,60678000,-4148
44,76,19-Aug-11,Conan the Barbarian,90000000,21295021,63356133,8/19/11,2011,Conan the Barbarian,Conan the Barbarian (2011),0.269230769,Conan the Barbarian (2011),LGF,21300000,27500000,48800000,-4979
134,27,29-Apr-16,Motherâs Day,25000000,32492859,52367022,4/29/16,2016,Motherâs Day,Mother's Day,0.214285714,Mother's Day,ORF,32500000,15900000,48400000,-7141
14,3,21-Nov-18,Ralph Breaks The Internet,175000000,201091711,524283695,11/21/18,2018,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04,Ralph Breaks the Internet,BV,201100000,328100000,529200000,-8289
218,77,26-Jul-13,The To Do List,1500000,3491669,4128828,7/26/13,2013,The To Do List,The To-Do List,0.071428571,The To-Do List,CBS,3500000,74600,3574600,-8331
5,51,5-Mar-10,Alice in Wonderland,200000000,334191110,1025491110,3/5/10,2010,Alice in Wonderland,Alice in Wonderland (2010),0.269230769,Alice in Wonderland (2010),BV,334200000,691300000,1025500000,-8890
163,69,13-Aug-14,Letâs Be Cops,17000000,82390774,136890774,8/13/14,2014,Letâs Be Cops,Let's Be Cops,0.2,Let's Be Cops,Fox,82400000,55800000,138200000,-9226
101,75,23-Apr-10,The Back-up Plan,35000000,37490007,75281179,4/23/10,2010,The Back-up Plan,The Back-Up Plan,0.0625,The Back-Up Plan,CBS,37500000,40000000,77500000,-9993
96,5,5-Oct-18,A Star is Born,36000000,215288866,433449571,10/5/18,2018,A Star is Born,A Star is Born (2018),0.333333333,A Star is Born (2018),WB,215300000,218900000,434200000,-11134
23,57,18-Nov-11,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,689420051,11/18/11,2011,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn Part 1,0.025,The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000,430900000,712200000,-12867
