,t1,t2,score
14057258,The To-Do List,The To Do List,0.07142857142857142
14057851,The To-Do List,Die To-Do-Liste,0.26666666666666666
14058355,The To-Do List,The Detourist,0.42857142857142855
14061900,The To-Do List,The Tobacconist,0.4
14062068,The To-Do List,The Terrorist,0.35714285714285715
14064588,The To-Do List,The Toughest,0.42857142857142855
14076727,The To-Do List,The List,0.42857142857142855
14081237,The To-Do List,The Con Artist,0.42857142857142855
14091777,The To-Do List,The Two Dogs,0.42857142857142855
14099327,The To-Do List,The Terror Live,0.4
14111081,The To-Do List,The Election List,0.4117647058823529
14126521,The To-Do List,The Go-Go Boys,0.42857142857142855
14129494,The To-Do List,The Out List,0.35714285714285715
14132901,The To-Do List,The Throbbit,0.42857142857142855
14137206,The To-Do List,The Latino List,0.3333333333333333
14140076,The To-Do List,The Hedonist,0.42857142857142855
14144883,The To-Do List,The Third Wish,0.42857142857142855
14146355,The To-Do List,The Terrorists,0.42857142857142855
14160276,The To-Do List,The Guest List,0.35714285714285715
14162393,The To-Do List,The Humorist,0.42857142857142855
14168288,The To-Do List,The Reformist,0.42857142857142855
14189876,The To-Do List,The Thin Line,0.42857142857142855
14208761,The To-Do List,The Short List,0.35714285714285715
14212079,The To-Do List,The Good Liar,0.42857142857142855
14212362,The To-Do List,The Journalist,0.42857142857142855
14217825,The To-Do List,The Rocket List,0.3333333333333333
14223697,The To-Do List,The Hypnotist,0.42857142857142855
14223911,The To-Do List,The True Cost,0.42857142857142855
14224058,The To-Do List,The Good Life,0.42857142857142855
14224922,The To-Do List,The A-List,0.35714285714285715
14225764,The To-Do List,The Bullet List,0.4
14226814,The To-Do List,The Mosuo Sisters,0.4117647058823529
14245652,The To-Do List,The Ufologist,0.42857142857142855
14250556,The To-Do List,The Coffee List,0.3333333333333333
14260544,Empty Hours,The Empty Hours,0.26666666666666666
14275265,Empty Hours,Empty Desert,0.4166666666666667
14295448,Empty Hours,Empty Boxcars,0.3076923076923077
14338759,Empty Hours,Empty Rooms,0.2727272727272727
14348382,Empty Hours,Empty Hearted,0.38461538461538464
14359068,Empty Hours,Wasted Hours,0.4166666666666667
14375736,Empty Hours,Empty Cans,0.36363636363636365
14387541,Empty Hours,Happy Hour,0.36363636363636365
14406031,Empty Hours,Empty Days,0.36363636363636365
14415730,Empty Hours,Happy Hours,0.2727272727272727
14462989,Empty Hours,Small Hours,0.36363636363636365
14769727,Bitch Slap,Bitchkram,0.4
14871833,Bitch Slap,Witch Road,0.4
14874315,Bitch Slap,Witch Way,0.4
14898860,Bitch Slap,Ditch Day,0.4
14982184,Bitch Slap,Bitchklem,0.4
14983685,Bitch Slap,Bitch Hug,0.4
15155510,The Other Woman (2014),The Other Human,0.4090909090909091
15498586,Love on the Cloud (Wei Ai),Love on the Cloud,0.34615384615384615
15503343,Bag of Marbles,Tale of tales,0.42857142857142855
15554327,Bag of Marbles,Bayou Tales,0.42857142857142855
15636845,Bag of Marbles,Breaking Into Marbles,0.42857142857142855
15658072,Bag of Marbles,A Bag of Marbles,0.125
15661736,Bag of Marbles,Bob Marley,0.42857142857142855
15698840,Bag of Marbles,Gang of Littles,0.4
15700082,Bag of Marbles,Ace of Sales,0.42857142857142855
15724671,Bag of Marbles,Bag of Love,0.42857142857142855
16179271,Hercules (2014),Hercules 3D,0.4
16208032,Hercules (2014),Hercules Reborn,0.4
16298329,Halloween (2018),Halloween II,0.375
16309953,Halloween (2018),Halloween Special,0.4117647058823529
16315458,Halloween (2018),Halloween Addicts,0.4117647058823529
16337938,Halloween (2018),Halloween Tales,0.375
16366024,Halloween (2018),Halloween Macabro,0.4117647058823529
16383155,Halloween (2018),Halloween Returns,0.4117647058823529
16386711,Halloween (2018),Halloween House,0.375
16401425,Halloween (2018),Halloween Doll,0.375
16411726,Halloween (2018),Halloween night,0.375
16436000,Halloween (2018),Halloween Hell,0.375
16471265,Halloween (2018),Halloween 8,0.3125
16488623,Halloween (2018),Halloween Party,0.375
16754799,The DUFF,The Darq,0.375
16776618,The DUFF,The Dead,0.375
16786827,The DUFF,The Door,0.375
16790629,The DUFF,The FP,0.375
16796739,The DUFF,The Dusk,0.375
16797915,The DUFF,The Dash,0.375
16799690,The DUFF,The Dune,0.375
16805787,The DUFF,The Dig,0.375
16820968,The DUFF,The Duke,0.375
16843618,The DUFF,The Deep,0.375
16856291,The DUFF,The Dam,0.375
16868245,The DUFF,The Does,0.375
16878583,The DUFF,The D,0.375
16891927,The DUFF,The Dive,0.375
16898983,The DUFF,The Den,0.375
16900411,The DUFF,The Down,0.375
16902389,The DUFF,The Deal,0.375
16906724,The DUFF,The Dog,0.375
16909779,The DUFF,The Doll,0.375
16919428,The DUFF,The Dirt,0.375
16927762,The DUFF,The Dare,0.375
16940560,The DUFF,The Urn,0.375
16950615,The DUFF,The Duel,0.375
16957763,The DUFF,The Demo,0.375
16982167,The DUFF,The Dawn,0.375
16994144,The DUFF,The Dark,0.375
16994806,The DUFF,The Dogs,0.375
16999842,The DUFF,The Duff,0.375
17005831,I Am Love,I Am Comic,0.4
17022984,I Am Love,I Am Alice,0.4
17026733,I Am Love,I Found Love,0.4166666666666667
17029675,I Am Love,It's Love,0.3333333333333333
17029846,I Am Love,I Sell Love,0.36363636363636365
17040512,I Am Love,I Am Joe,0.2222222222222222
17043077,I Am Love,If Not Love,0.36363636363636365
17049078,I Am Love,I Am Alone,0.3
17049897,I Am Love,I Am Divine,0.36363636363636365
17054827,I Am Love,I Am Toxic,0.4
17059242,I Am Love,I Am Hope,0.2222222222222222
17084278,I Am Love,I Am Femen,0.4
17094766,I Am Love,I Am ZoZo,0.3333333333333333
17097949,I Am Love,I Am Soldier,0.4166666666666667
17102998,I Am Love,In Love,0.3333333333333333
17121291,I Am Love,U Ar My Love,0.4166666666666667
17122099,I Am Love,I Am You,0.3333333333333333
17126639,I Am Love,I Am in Love,0.25
17130550,I Am Love,I Am Coffee,0.36363636363636365
17133566,I Am Love,Oh My Love,0.4
17152274,I Am Love,I Am Louise,0.2727272727272727
17156197,I Am Love,I Am Here,0.3333333333333333
17156604,I Am Love,I Am Me,0.3333333333333333
17184966,I Am Love,I Hate Love,0.36363636363636365
17185733,I Am Love,I Am Slave,0.3
17189391,I Am Love,If You Love,0.36363636363636365
17193690,I Am Love,I Am Kombi,0.4
17194939,I Am Love,From Love,0.3333333333333333
17203650,I Am Love,I Am Mother,0.36363636363636365
17209599,I Am Love,I Am Yours,0.4
17212211,I Am Love,I Am Soul,0.3333333333333333
17218377,I Am Love,I Am Bolt,0.3333333333333333
17220339,I Am Love,I Am Mame,0.3333333333333333
17220407,I Am Love,I Have Loved,0.4166666666666667
17224897,I Am Love,I Am No One,0.36363636363636365
17231373,I Am Love,I Am Sorry,0.4
17398354,Dr. Seuss' The Grinch (2018),Dr. Seuss' The Grinch,0.25
17755392,Ajami,Arani,0.4
17776668,Ajami,Ajomies,0.42857142857142855
17781899,Ajami,Miami,0.4
17786187,Ajami,Adamim,0.3333333333333333
17806172,Ajami,Aamis,0.4
17821898,Ajami,Amama,0.4
17828993,Ajami,Atari,0.4
17837870,Ajami,Adam,0.4
17852811,Ajami,Adama,0.4
17863094,Ajami,Djam,0.4
17877461,Ajami,Aramm,0.4
17878429,Ajami,Ajan,0.4
17881835,Ajami,Agapi,0.4
17883770,Ajami,Ilami,0.4
17885802,Ajami,Akam,0.4
17893447,Ajami,Ojai,0.4
17910508,Ajami,Djamila,0.42857142857142855
17915980,Ajami,Ajji,0.4
17925390,Ajami,Arama,0.4
17928594,Ajami,Ami-ami,0.42857142857142855
17928826,Ajami,Mami,0.4
17942768,Ajami,Aradi,0.4
17959874,Ajami,Azali,0.4
17969944,Ajami,Maami,0.4
17991152,Ajami,Ejmi,0.4
17991820,Ajami,Aami,0.2
17996810,Ajami,Azemi,0.4
17996861,Ajami,Anjali,0.3333333333333333
18001764,Ajami,Agam,0.4
